Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_29_213.jpg;-10.48265;0;0;2.142532;103.1985;94.50534;359.7227;93.82538;359.9746
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_29_278.jpg;-13.50168;0;0;2.126139;103.199;94.63167;359.6464;92.39246;359.5654
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_29_346.jpg;-13.44206;0;0;2.10955;103.2049;94.80021;359.6577;90.18753;359.0565
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_29_414.jpg;-10.49295;0;0;2.099262;103.2102;94.92838;359.8226;88.8381;358.8398
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_29_479.jpg;-7.486019;0;0.09629215;2.084363;103.2162;95.0572;0.06666414;87.72771;358.8037
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_29_545.jpg;-4.454862;0;0.2983693;2.051825;103.2231;95.17886;0.03403843;86.92783;358.9186
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_29_613.jpg;-1.478106;0;0.4968197;1.95287;103.2349;95.32409;359.5359;86.4585;358.9771
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_29_680.jpg;0;0;0.6956847;1.834204;103.2411;95.42108;358.9695;86.31126;359.1144
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_29_745.jpg;0;0;0.8957193;1.619561;103.247;95.50513;358.2301;86.30782;359.2892
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_29_813.jpg;0;0;1;1.446166;103.2573;95.59197;356.7822;86.45856;359.2764
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_29_879.jpg;0;0;1;1.24045;103.2607;95.64378;355.6888;86.72596;359.4684
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_29_946.jpg;0;0;1;0.9663675;103.2628;95.68958;354.1264;86.98542;359.862
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_30_013.jpg;0;0;1;0.6759833;103.2639;95.6997;352.7878;86.94972;0.1069353
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_30_079.jpg;0;0;1;0.4015182;103.264;95.69933;351.5463;86.95693;0.2132037
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_30_145.jpg;0;0;1;0.2603225;103.2643;95.69901;350.7018;86.93903;0.1552222
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_30_212.jpg;0;0;1;0.1419275;103.2643;95.69881;350.1218;86.92265;359.9848
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_30_278.jpg;0;0;1;0;103.2641;95.69891;350.1143;86.94769;359.9913
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_30_345.jpg;0;0;0;-0.08890576;103.2642;95.69928;350.5254;86.95669;359.9937
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_30_408.jpg;0;0;0;-0.2085817;103.2642;95.70004;351.6213;86.96883;359.9914
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_30_478.jpg;0;0;0;-0.2950613;103.2641;95.7007;352.8396;86.97832;-0.0009403884
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_30_545.jpg;0;0;0;-0.4122796;103.2634;95.70044;354.2654;87.1002;-0.001346724
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_30_612.jpg;0;0;0;-0.3999543;103.2632;95.69969;355.973;87.14207;359.5402
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_30_679.jpg;0;0;0;-0.3690914;103.269;95.69769;357.0395;87.01676;358.7853
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_30_745.jpg;0;0;0;-0.3365201;103.2731;95.69651;357.9655;86.96745;357.8961
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_30_813.jpg;0;0;0;-0.3466037;103.2771;95.69577;359.016;86.99722;356.5769
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_30_879.jpg;0;0;0;-0.3247899;103.2791;95.69532;359.6578;87.03096;355.6188
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_30_946.jpg;0;0;0;-0.2557471;103.2789;95.69504;0.2767934;87.08466;354.7638
